gzip	1	82873787	5.3
gzip	2	78940877	5.57
gzip	3	73513705	8.06
gzip	4	72854450	7.74
gzip	5	69882930	12.4
gzip	6	66070793	31.9
gzip	7	64386001	50.2
gzip	8	63461344	54.2
gzip	9	63126061	77.1
igzip	1	78072520	0.845
igzip	2	78031514	0.822
igzip	3	78001559	2.26
lzop	1	120930771	0.93
lzop	2	120841558	0.936
lzop	3	120841558	0.929
lzop	4	120841558	0.921
lzop	5	120841558	0.926
lzop	6	120841558	0.923
lzop	7	81680839	67.7
lzop	8	77978939	169
lzop	9	77655572	222
lz4	1	119921924	1.03
lz4	2	119921924	1.04
lz4	3	107425250	6.06
lz4	4	99832931	9.58
lz4	5	93432942	16.4
lz4	6	87849909	24.1
lz4	7	83206590	39.5
lz4	8	80681356	70.9
lz4	9	79765158	90.7
zstd	1	71708106	2.43
zstd	2	73916468	2.05
zstd	3	66823345	2.91
zstd	4	66308270	2.75
zstd	5	70612597	5.15
zstd	6	68812295	6.43
zstd	7	66551670	10.3
zstd	8	66006874	13.8
zstd	9	63907904	31.6
